file_path,model_name,chi2,alpha
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T800_lg2.5_NEQ_strong.txt,spec_T800_lg2.5_NEQ_strong.txt,53773.867173503895,7.445145223739409e-21
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T300_lg3.5_NEQ_strong.txt,spec_T300_lg3.5_NEQ_strong.txt,76845.6682913482,5.049856272675907e-18
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T700_lg3.0_NEQ_strong.txt,spec_T700_lg3.0_NEQ_strong.txt,67247.78096457865,7.98472485692276e-21
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T1600_lg3.0_NEQ_strong.txt,spec_T1600_lg3.0_NEQ_strong.txt,23819.298080369987,6.518201865018585e-22
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T900_lg4.0_NEQ_strong.txt,spec_T900_lg4.0_NEQ_strong.txt,62934.75976081045,2.977941333905876e-21
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T800_lg4.5_NEQ_strong.txt,spec_T800_lg4.5_NEQ_strong.txt,66409.03404286044,4.2770562581772434e-21
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T700_lg4.5_NEQ_strong.txt,spec_T700_lg4.5_NEQ_strong.txt,68878.83938731128,7.072111022284352e-21
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T350_lg5.5_NEQ_strong.txt,spec_T350_lg5.5_NEQ_strong.txt,75437.60664139976,1.257913755029164e-18
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T1400_lg3.5_NEQ_strong.txt,spec_T1400_lg3.5_NEQ_strong.txt,29180.683527650526,1.0266265108550511e-21
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T1600_lg4.5_NEQ_strong.txt,spec_T1600_lg4.5_NEQ_strong.txt,33001.94989096623,5.534558406523841e-22
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T700_lg5.5_NEQ_strong.txt,spec_T700_lg5.5_NEQ_strong.txt,68889.92633192815,8.25307350453836e-21
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T1400_lg4.5_NEQ_strong.txt,spec_T1400_lg4.5_NEQ_strong.txt,40775.76462704228,8.348519864819629e-22
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T250_lg2.5_NEQ_strong.txt,spec_T250_lg2.5_NEQ_strong.txt,77966.80459564923,9.097883346788724e-17
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T1700_lg5.5_NEQ_strong.txt,spec_T1700_lg5.5_NEQ_strong.txt,37911.33977305889,4.1159485332975475e-22
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T1300_lg3.0_NEQ_strong.txt,spec_T1300_lg3.0_NEQ_strong.txt,27163.90748923806,1.4689109529012201e-21
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T200_lg4.0_NEQ_strong.txt,spec_T200_lg4.0_NEQ_strong.txt,82266.06604460803,2.6387474430941163e-17
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T1000_lg4.5_NEQ_strong.txt,spec_T1000_lg4.5_NEQ_strong.txt,60950.313314151805,1.991238285052206e-21
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T300_lg4.0_NEQ_strong.txt,spec_T300_lg4.0_NEQ_strong.txt,76537.24348723522,6.488442952097554e-18
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T1700_lg3.5_NEQ_strong.txt,spec_T1700_lg3.5_NEQ_strong.txt,27245.744788313747,4.785612226930549e-22
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T900_lg3.0_NEQ_strong.txt,spec_T900_lg3.0_NEQ_strong.txt,54220.50716739229,4.079428705458886e-21
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T300_lg4.5_NEQ_strong.txt,spec_T300_lg4.5_NEQ_strong.txt,76346.3691053965,6.23400005639914e-18
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T1400_lg3.0_NEQ_strong.txt,spec_T1400_lg3.0_NEQ_strong.txt,24548.60832435013,1.1192677761507046e-21
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T800_lg5.5_NEQ_strong.txt,spec_T800_lg5.5_NEQ_strong.txt,67031.63767620825,4.508264854127717e-21
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T1000_lg3.5_NEQ_strong.txt,spec_T1000_lg3.5_NEQ_strong.txt,53671.20130311211,2.544927416164064e-21
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T900_lg4.5_NEQ_strong.txt,spec_T900_lg4.5_NEQ_strong.txt,63960.0441386497,2.8052808659213117e-21
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T1500_lg5.5_NEQ_strong.txt,spec_T1500_lg5.5_NEQ_strong.txt,45712.71426457105,5.784293345316545e-22
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T250_lg3.0_NEQ_strong.txt,spec_T250_lg3.0_NEQ_strong.txt,77885.73139328486,9.310250604895645e-17
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T550_lg2.5_NEQ_strong.txt,spec_T550_lg2.5_NEQ_strong.txt,71528.47117213083,2.4736568152715278e-20
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T450_lg5.5_NEQ_strong.txt,spec_T450_lg5.5_NEQ_strong.txt,72499.11571335491,1.4050584477439292e-19
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T1100_lg4.5_NEQ_strong.txt,spec_T1100_lg4.5_NEQ_strong.txt,57288.91998149876,1.5193212655816897e-21
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T700_lg3.5_NEQ_strong.txt,spec_T700_lg3.5_NEQ_strong.txt,68387.27246288623,7.367929009040778e-21
/home/dylan/Research/Models/ATMO2020/NEQ_strong/spec_T300_lg3.0_NEQ_strong.txt,spec_T300_lg3.0_NEQ_strong.txt,77053.7448430689,4.998659137672895e-18
