file_path,model_name,chi2,alpha,teff,logg,fsed,met,plot_color,plot_ms,plot_alpha
/home/dylan/Research/Models/SonoraDiamondback/t1000g316f3_m+0.5_co1.0.spec,t1000g316f3_m+0.5_co1.0.spec,21432.40610453913,6.96869165605099e-21,1000.0,4.5,3,0.5,xkcd:robin's egg,d,1.0
/home/dylan/Research/Models/SonoraDiamondback/t1900g100f8_m0.0_co1.0.spec,t1900g100f8_m0.0_co1.0.spec,31845.862969046135,2.9818375972867066e-22,1900.0,4.0,8,0.0,xkcd:royal blue,s,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1300g1000nc_m-0.5_co1.0.spec,t1300g1000nc_m-0.5_co1.0.spec,58513.03300260039,7.235938811244116e-22,1300.0,5.0,nc,-0.5,xkcd:faded orange,P,0.333
/home/dylan/Research/Models/SonoraDiamondback/t900g31f1_m0.0_co1.0.spec,t900g31f1_m0.0_co1.0.spec,18512.82562926001,1.62270815736966e-20,900.0,3.5,1,0.0,xkcd:cherry,o,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1900g1000f8_m+0.5_co1.0.spec,t1900g1000f8_m+0.5_co1.0.spec,30582.73116845567,3.0279403325801843e-22,1900.0,5.0,8,0.5,xkcd:royal blue,P,1.0
/home/dylan/Research/Models/SonoraDiamondback/t900g31f2_m-0.5_co1.0.spec,t900g31f2_m-0.5_co1.0.spec,35780.112167249536,9.413462379795809e-21,900.0,3.5,2,-0.5,xkcd:bright lavender,o,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1600g3160f8_m-0.5_co1.0.spec,t1600g3160f8_m-0.5_co1.0.spec,34970.83642583514,5.805237923096643e-22,1600.0,5.5,8,-0.5,xkcd:royal blue,v,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1900g31f2_m0.0_co1.0.spec,t1900g31f2_m0.0_co1.0.spec,31130.786613129392,3.0973762146175614e-22,1900.0,3.5,2,0.0,xkcd:bright lavender,o,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1000g316f1_m0.0_co1.0.spec,t1000g316f1_m0.0_co1.0.spec,4516.56449245288,1.0207387413552676e-20,1000.0,4.5,1,0.0,xkcd:cherry,d,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1500g3160f3_m+0.5_co1.0.spec,t1500g3160f3_m+0.5_co1.0.spec,15136.520729909264,1.1315811589553072e-21,1500.0,5.5,3,0.5,xkcd:robin's egg,v,1.0
/home/dylan/Research/Models/SonoraDiamondback/t900g3160f4_m0.0_co1.0.spec,t900g3160f4_m0.0_co1.0.spec,48686.460242011206,5.779267834291124e-21,900.0,5.5,4,0.0,xkcd:navy green,v,0.666
/home/dylan/Research/Models/SonoraDiamondback/t2100g316f3_m0.0_co1.0.spec,t2100g316f3_m0.0_co1.0.spec,35385.92239587051,1.9152466216580555e-22,2100.0,4.5,3,0.0,xkcd:robin's egg,d,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1900g316f1_m-0.5_co1.0.spec,t1900g316f1_m-0.5_co1.0.spec,34007.155550296804,3.080657516279956e-22,1900.0,4.5,1,-0.5,xkcd:cherry,d,0.333
